Gruppe : yg.talk.tagesgeschehen
Benötigte Zeit für Berechnung : 00:00:01
Statistikzeitraum von 30.06.2012 bis 31.07.2012

****** Wer hat die meisten Beiträge geschrieben ? ******
 ...| Name                | Anzahl Beiträge | Größe   | Disk. | %
----|---------------------|-----------------|---------|-------|--------|
  1 | Francisco               |             223 | 633.726 |     3 |  7,78% 
  2 | Wilma Zengerling        |             182 | 507.038 |     8 |  6,35% 
  3 | Alois Taggruber   |             166 | 713.609 |   130 |  5,79% 
  4 | Dem [Tr]Ottelch ... |             155 | 271.957 |     2 |  5,41% 
  5 | Philipp Oberhauser       |             121 | 375.162 |     4 |  4,22% 
  6 | Tee Trinker         |             107 | 180.688 |    15 |  3,73% 
  7 | Eilt Gosewisch       |             106 | 283.341 |     0 |  3,70% 
  8 | Ferdinand "Bodo ... |              93 | 338.352 |     1 |  3,25% 
  9 | Knut Ochsenkühn         |              73 | 206.103 |     0 |  2,55% 
 10 | Nzublf              |              67 | 163.185 |     2 |  2,34% 
 11 | Francisco Sauerteich       |              67 | 159.399 |     0 |  2,34% 
 12 | Robin Stute      |              54 | 110.106 |     7 |  1,88% 
 13 | Noah               |              53 | 263.808 |     0 |  1,85% 
 14 | Guido B. Kellershofen   |              48 | 126.689 |     0 |  1,68% 
 15 | Der Habakuk.        |              47 | 214.306 |     9 |  1,64% 
 16 | Skandalos           |              45 |  84.367 |     1 |  1,57% 
 17 | Roman Ochsenbauer       |              45 | 119.340 |     0 |  1,57% 
 18 | Salvatore Pfingsten       |              43 | 100.304 |     3 |  1,50% 
 19 | Wolfgang Thiellen          |              42 |  94.538 |     7 |  1,47% 
 20 | Max Ockenfels   |              38 |  84.593 |     2 |  1,33% 
 21 | Orlando Isaacsohn        |              33 |  91.597 |     0 |  1,15% 
 22 | Berthold Ingenweyen         |              32 | 113.993 |     0 |  1,12% 
 23 | Arne Taggruber     |              28 |  50.067 |     0 |  0,98% 
 24 | Patrik Graeßer       |              27 |  58.781 |     0 |  0,94% 
 25 | Folkert Wustenberg        |              26 |  52.913 |     0 |  0,91% 
 26 | O.Gehrike           |              26 |  45.686 |     0 |  0,91% 
 27 | Wolfgang Prabst         |              25 |  57.254 |     9 |  0,87% 
 28 | Volkmar                |              24 |  64.974 |     1 |  0,84% 
 29 | S. Fennemann         |              23 |  88.899 |    15 |  0,80% 
 30 | Pasquale Glöck        |              23 |  43.438 |     4 |  0,80% 
 31 | Dietrich P.          |              21 |  65.752 |    10 |  0,73% 
 32 | Orlando 'Xavier' B ... |              20 |  56.220 |     2 |  0,70% 
 33 | Linda Deller           |              19 |  52.526 |     0 |  0,66% 
 34 | F.  Pelzers          |              19 |  33.869 |     0 |  0,66% 
 35 | Burkhard Vidler        |              18 |  61.186 |     0 |  0,63% 
 36 | Reiner A.           |              18 |  39.404 |     0 |  0,63% 
 37 | Patrick Unterbichler      |              18 |  36.645 |     0 |  0,63% 
 38 | Marion Ohm     |              17 |  61.827 |     1 |  0,59% 
 39 | Guido Thiekötter       |              17 |  28.457 |     0 |  0,59% 
 40 | Philipp Oldekamp     |              16 |  33.994 |     0 |  0,56% 
 41 | Oswald Roskop          |              14 |  31.583 |    10 |  0,49% 
 42 | Marcel Ohm  |              13 |  32.477 |     0 |  0,45% 
