Und? Da steht doch eindeutig:

Goldpreis in Euro - Historisch

      Datum Schlusskurs Eröffnung Tageshoch Tagestief
      16.01.2011 979,43 987,77 990,24 975,46
      15.01.2011 980,79 974,86 985,05 973,83
      14.01.2011 982,81 968,77 984,10 967,59
      13.01.2011 970,57 972,69 972,84 963,53
      12.01.2011 975,33 975,26 976,34 965,82
      09.01.2011 965,80 956,94 967,84 950,31
      08.01.2011 958,53 968,48 980,70 953,39
      07.01.2011 968,94 962,52 969,30 961,55
      06.01.2011 968,74 949,15 969,79 949,11
      05.01.2011 961,61 965,37 965,37 960,04

Also - wo liegt "dein" Problem? ..
