Gruppe : fo.siee.vdoupdgyzjldsw
Benötigte Zeit für Berechnung : 00:00:01
Statistikzeitraum von 07.09.2010 bis 07.10.2010

****** Wer hat die meisten Beiträge geschrieben ? ******
 ...| Name                | Anzahl Beiträge | Größe   | Disk. | %
----|---------------------|-----------------|---------|-------|--------|
  1 | Heimo Veit      |             135 | 347.068 |    61 |  5,74% 
  2 | Pietro Hattebuhr    |             218 | 394.169 |    50 |  3,64% 
  3 | Samuel Poelstra        |             211 | 375.584 |     3 |  3,52% 
  4 | Sébastien              |             169 | 410.605 |     4 |  2,82% 
  5 | Olivia Leinenweber        |             161 | 412.911 |     0 |  2,69% 
  6 | Cartman             |             159 | 739.153 |    21 |  2,66% 
  7 | Timo Ambaum   |             139 | 275.080 |    11 |  2,32% 
  8 | Tim Abel   |             124 | 356.771 |     4 |  2,07% 
  9 | Oswald Jülichs     |             112 | 195.956 |     2 |  1,87% 
 10 | Xyitj-Xgnnhj        |             110 | 176.287 |     3 |  1,84% 
 11 | Skandalos           |              97 | 187.136 |     5 |  1,62% 
 12 | Heino Ultsch      |              94 | 172.635 |    18 |  1,57% 
 13 | Henri Utsch         |              94 | 321.246 |     3 |  1,57% 
 14 | Tim Reinhartz |              88 | 148.068 |     3 |  1,47% 
 15 | Patrice Claaßen    |              87 | 406.033 |     0 |  1,45% 
 16 | José Degreif      |              80 | 234.186 |     0 |  1,34% 
 17 | Berend Pramann         |              77 | 214.068 |     1 |  1,29% 
 18 | Guenther Moelle ... |              71 | 228.135 |     0 |  1,19% 
 19 | Edo Jeß          |              70 | 131.820 |    11 |  1,17% 
 20 | Fernand Vogtmann       |              69 | 114.754 |     3 |  1,15% 
 21 | Italo I Niedenhof        |              61 | 120.951 |     6 |  1,02% 
 22 | Ueli Voelcker   |              60 | 169.917 |     6 |  1,00% 
 23 | Dirk              |              59 | 127.420 |    20 |  0,99% 
 24 | Heino Stockbrügger       |              58 |  90.291 |     5 |  0,97% 
 25 | Norman Cot         |              56 | 131.136 |     0 |  0,94% 
 26 | adolf             |              55 | 122.346 |    12 |  0,92% 
 27 | Ludger Averborg     |              55 | 123.067 |     0 |  0,92% 
 28 | Sebastian Vondermaßen        |              54 | 107.454 |    16 |  0,90% 
 29 | Arne Flinspach     |              51 | 105.870 |     0 |  0,85% 
 30 | Norman Fessenmayer       |              50 | 107.421 |     2 |  0,84% 
 31 | Bin Ertefan         |              49 |  85.582 |     0 |  0,82% 
 32 | Veit Ullmer      |              48 |  78.479 |    20 |  0,80% 
 33 | Marc              |              48 | 123.428 |     1 |  0,80% 
 34 | ubbo Rogmans        |              48 | 140.943 |     0 |  0,80% 
 35 | Sense               |              47 | 110.138 |     0 |  0,78% 
 36 | Mr. Justice         |              43 | 452.068 |    30 |  0,72% 
 37 | Adolf Cloots         |              43 |  63.851 |    21 |  0,72% 
 38 | Beat Frank           |              43 |  86.783 |     8 |  0,72% 
 39 | Sebastian "Panzersc ... |              36 | 123.205 |     2 |  0,60% 
 40 | H. Sebastian            |              35 | 117.336 |    23 |  0,58% 
 41 | Pietro Jarling      |              35 | 129.260 |     0 |  0,58% 
 42 | Timo Callensee      |              33 |  55.867 |     4 |  0,55% 
 43 | Gunter Schuir     |              33 |  82.377 |     0 |  0,55% 
 44 | mucky               |              32 |  71.269 |     3 |  0,53% 
 45 | Clemens U            |              32 |  50.882 |     1 |  0,53% 
 46 | Mathias Tobias        |              32 | 135.103 |     0 |  0,53% 
 47 | Roland Grodhues      |              32 |  69.859 |     0 |  0,53% 
 48 | Fernand Girstenbrei      |              32 |  54.447 |     0 |  0,53% 
 49 | Wilfried Johannson       |              31 |  50.093 |     8 |  0,52% 
 50 | starless&bibleblack |              31 |  56.210 |     0 |  0,52% 
 51 | Mathias Althofes        |              29 |  74.860 |     0 |  0,48% 
 52 | Tim Droesler    |              29 |  74.030 |     0 |  0,48% 
 53 | KTMNJJPFJSFvuzG     |              29 |  67.336 |     0 |  0,48% 
 54 | Paolo Pausewang ... |              28 |  65.082 |     1 |  0,47% 
 55 | Timo Ahrnsen       |              28 |  58.732 |     1 |  0,47% 
 56 | Tini Altmanns     |              27 |  83.062 |     0 |  0,45% 
 57 | Samuel Labonte       |              27 |  53.112 |     0 |  0,45% 
 58 | J-Nane              |              26 |  47.065 |    12 |  0,43% 
 59 | Herwig R.           |              26 |  60.122 |     0 |  0,43% 
 60 | Gerard Christianssen       |              26 |  49.322 |     0 |  0,43% 
 61 | Denis Berthold     |              24 |  33.573 |     1 |  0,40% 
 62 | Gilles Johannwille         |              24 |  55.058 |     0 |  0,40% 
 63 | thunderhand         |              23 |  38.601 |    23 |  0,38% 
 64 | Harm Pauhl       |              23 |  35.425 |     3 |  0,38% 
 65 | Berthold Boehmig     |              23 |  54.289 |     2 |  0,38% 
 66 | Serjo Lasalle       |              23 |  46.839 |     0 |  0,38% 
 67 | Bruno Thiems        |              23 |  39.134 |     0 |  0,38% 
 68 | hjs                 |              23 |  36.963 |     0 |  0,38% 
 69 | untergangsprophet   |              22 |  40.647 |     2 |  0,37% 
 70 | Denis             |              22 |  76.987 |     0 |  0,37% 
 71 | Heino . K u s m  ... |              22 |  59.133 |     0 |  0,37% 
 72 | Veit Reuver        |              20 |  45.983 |     4 |  0,33% 
 73 | Kaspar                |              20 |  80.702 |     0 |  0,33% 
 74 | J.Malberg           |              20 |  33.261 |     0 |  0,33% 
 75 | Giorgio Bruderle      |              19 |  26.125 |     4 |  0,32% 
 76 | Der Habakuk         |              19 |  60.023 |     1 |  0,32% 
 77 | FO                  |              19 |  82.217 |     0 |  0,32% 
 78 | M.Gorn              |              19 |  43.569 |     0 |  0,32% 
 79 | Sebastian Jamin         |              18 |  59.610 |     2 |  0,30% 
 80 | Edo.               |              18 |  45.302 |     0 |  0,30% 
 81 | Dr. Krasenbrink        |              17 |  18.896 |     9 |  0,28% 
 82 | Laszlo Uthleben       |              17 |  26.049 |     2 |  0,28% 
 83 | Christophe Tim Pleugner |              17 |  47.053 |     0 |  0,28% 
 84 | Reiner Altendorf      |              17 |  43.533 |     0 |  0,28% 
 85 | Tobias Filbinger         |              17 |  36.357 |     0 |  0,28% 
 86 | Ihno Ravenstein       |              16 |  27.672 |     2 |  0,27% 
 87 | Berthold S           |              16 |  65.769 |     0 |  0,27% 
